"export-plot data (NetLogo 6.0.2)"
"Wolf Sheep Predation.nlogo"
"11/29/2017 18:24:23:588 +0100"

"MODEL SETTINGS"
"wolf-gain-from-food","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce"
"20","false","5","50","100","""sheep-wolves""","4","30","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","776","0","7960","true","""sheep""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","621"
"""wolves""","true","0","1","10","621"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","27","true","0","50","10","true",,,,
"1","103","27","true","1","52","10","true",,,,
"2","106","27","true","2","51","10","true",,,,
"3","111","27","true","3","51","10","true",,,,
"4","116","27","true","4","49","10","true",,,,
"5","119","27","true","5","51","10","true",,,,
"6","121","27","true","6","54","10","true",,,,
"7","124","27","true","7","55","10","true",,,,
"8","128","27","true","8","54","10","true",,,,
"9","130","27","true","9","58","10","true",,,,
"10","134","27","true","10","59","10","true",,,,
"11","136","27","true","11","64","10","true",,,,
"12","136","27","true","12","69","10","true",,,,
"13","141","27","true","13","62","10","true",,,,
"14","147","27","true","14","62","10","true",,,,
"15","148","27","true","15","60","10","true",,,,
"16","155","27","true","16","61","10","true",,,,
"17","154","27","true","17","55","10","true",,,,
"18","155","27","true","18","54","10","true",,,,
"19","160","27","true","19","54","10","true",,,,
"20","160","27","true","20","53","10","true",,,,
"21","159","27","true","21","56","10","true",,,,
"22","166","27","true","22","56","10","true",,,,
"23","168","27","true","23","59","10","true",,,,
"24","171","27","true","24","55","10","true",,,,
"25","179","27","true","25","56","10","true",,,,
"26","181","27","true","26","54","10","true",,,,
"27","179","27","true","27","54","10","true",,,,
"28","183","27","true","28","57","10","true",,,,
"29","189","27","true","29","54","10","true",,,,
"30","195","27","true","30","55","10","true",,,,
"31","201","27","true","31","55","10","true",,,,
"32","207","27","true","32","53","10","true",,,,
"33","213","27","true","33","53","10","true",,,,
"34","219","27","true","34","54","10","true",,,,
"35","226","27","true","35","54","10","true",,,,
"36","232","27","true","36","52","10","true",,,,
"37","231","27","true","37","57","10","true",,,,
"38","237","27","true","38","56","10","true",,,,
"39","243","27","true","39","59","10","true",,,,
"40","243","27","true","40","62","10","true",,,,
"41","247","27","true","41","61","10","true",,,,
"42","255","27","true","42","55","10","true",,,,
"43","263","27","true","43","55","10","true",,,,
"44","264","27","true","44","55","10","true",,,,
"45","266","27","true","45","59","10","true",,,,
"46","274","27","true","46","60","10","true",,,,
"47","279","27","true","47","61","10","true",,,,
"48","284","27","true","48","59","10","true",,,,
"49","285","27","true","49","61","10","true",,,,
"50","288","27","true","50","59","10","true",,,,
"51","297","27","true","51","63","10","true",,,,
"52","298","27","true","52","69","10","true",,,,
"53","308","27","true","53","69","10","true",,,,
"54","319","27","true","54","64","10","true",,,,
"55","324","27","true","55","62","10","true",,,,
"56","336","27","true","56","60","10","true",,,,
"57","342","27","true","57","53","10","true",,,,
"58","350","27","true","58","54","10","true",,,,
"59","362","27","true","59","54","10","true",,,,
"60","369","27","true","60","56","10","true",,,,
"61","371","27","true","61","57","10","true",,,,
"62","388","27","true","62","57","10","true",,,,
"63","398","27","true","63","59","10","true",,,,
"64","407","27","true","64","58","10","true",,,,
"65","415","27","true","65","64","10","true",,,,
"66","427","27","true","66","66","10","true",,,,
"67","437","27","true","67","69","10","true",,,,
"68","444","27","true","68","74","10","true",,,,
"69","441","27","true","69","77","10","true",,,,
"70","453","27","true","70","75","10","true",,,,
"71","462","27","true","71","76","10","true",,,,
"72","469","27","true","72","76","10","true",,,,
"73","480","27","true","73","77","10","true",,,,
"74","490","27","true","74","79","10","true",,,,
"75","499","27","true","75","85","10","true",,,,
"76","510","27","true","76","88","10","true",,,,
"77","517","27","true","77","90","10","true",,,,
"78","524","27","true","78","92","10","true",,,,
"79","527","27","true","79","94","10","true",,,,
"80","539","27","true","80","95","10","true",,,,
"81","547","27","true","81","96","10","true",,,,
"82","549","27","true","82","100","10","true",,,,
"83","547","27","true","83","105","10","true",,,,
"84","559","27","true","84","112","10","true",,,,
"85","573","27","true","85","118","10","true",,,,
"86","576","27","true","86","125","10","true",,,,
"87","569","27","true","87","133","10","true",,,,
"88","563","27","true","88","142","10","true",,,,
"89","566","27","true","89","151","10","true",,,,
"90","552","27","true","90","159","10","true",,,,
